1.262185604417980963e-10	3.643615992389980906e-10	-6.441063940646762038e-09	1.471921006032773676e+02	7.077904433702525422e-01
8.835299230925904996e-10	-3.643615992389974703e-10	-5.616607756243975967e-09	2.059090593530959836e+02	1.318915317403893006e+00
8.835299230925908098e-10	1.530318716803790481e-09	-2.937125156934922894e-09	5.936623475357619100e+02	2.951579427996292111e+02
8.835299230925911200e-10	2.842020474064182264e-09	-1.082098742028655063e-09	4.066819701247322882e+02	1.512379649290262705e+03
1.640841285743383213e-09	6.558508786301958911e-10	-2.318783018632834168e-09	7.203115869360092347e+02	1.218063435110996693e+02
1.640841285743383213e-09	1.821807996194988747e-09	-8.244561844027844158e-10	7.985103916614093578e+02	1.709140393110891864e+03
2.019496967068779466e-09	1.894680316042787900e-09	2.061140461006965176e-10	9.130919111487817190e+02	1.296743974656673117e+03
2.145715527510578080e-09	1.384574077108191349e-09	-5.152851152517247503e-11	1.191542368997722633e+03	1.051703655765716348e+03
2.524371208835973919e-09	-8.744678381735945904e-10	-2.318783018632834168e-09	1.297720994317187717e+02	8.232238906681716628e+01
2.650589769277772946e-09	-1.384574077108191349e-09	-2.731011110834226376e-09	1.090150196046486570e+02	1.049451255394085081e+02
3.029245450603169200e-09	-1.020212477869193723e-09	-1.288212788129351580e-09	2.820913204683612321e+02	1.276902974868332308e+02
3.029245450603169200e-09	-5.829785587823965314e-10	-6.698706498272628549e-10	5.465752057252523173e+02	6.465954374568612195e+01
-5.169878828456422968e-25	8.744678381735947971e-10	-5.565079244718801838e-09	2.143526396614885812e+02	8.038223987305826768e+00
2.524371208835970714e-10	1.165957117564793063e-09	-4.534509014215320077e-09	3.482340781451504768e+02	3.577364526691757618e+01
1.009748483534389320e-09	-7.287231984779952507e-10	-5.358965198618106148e-09	2.203923568369808663e+02	6.282564334007432194e+00
1.009748483534389733e-09	1.457446396955990915e-09	-2.112668972532137651e-09	7.202680194196348111e+02	7.936837679555208069e+02
1.388404164859785987e-09	5.101062389345969650e-10	-2.679482599309052247e-09	9.008883903892684657e+02	5.777949100664165627e+01
1.767059846185181826e-09	-7.287231984779954575e-10	-3.349353249136315929e-09	4.377729734560352881e+02	3.713087137031683227e+01
2.145715527510578493e-09	2.186169595433984925e-10	-1.082098742028655063e-09	5.612682762044975107e+02	3.483734128165837518e+01
