 Here is the list of increments for K=6 for G=5 and F=2. The increments are over the modified Cappellaro method. In other words we have updated the phase with 0.5*arg(b_{-2^(k+1)}) for the detections in the interaction time
 2^k*tau  and with 0.5*arg(b_{2^k}) when the interaction time is changed from 2^k*tau to 2^(k-1)*tau. The phase is then incremented based on the measurement result according to the following lists.
If the measurement gives u=1, with the  probability p(u=1)=(fa+fi-(fa-fi)*vis*cos(2**(K-k)phi-theta))/2, the corresponding increment in the u=1 list is used and if 
the measurement gives u=0, with the probability p(u=0)=1-p(u=1), then the corresponding phase in the u=0 list is used.
The first controlled phase is set to zero and the updating is started from the second controlled phase.
For this value of K (K=6), N=875 and the swarm optimization gives NV_H=0.097216163207763939.
	increments	for u=1				time (multiplied ied by tau)
0                                   2^6
-3.4092680510889206E-002  				2^6	
-0.1278825866034725      				2^6	
0.4314126548199351       				2^6
-3.9142299585701146E-002  				2^6	
-0.7914998049680317      				2^5
0.1775021127687544        				2^5
0.5862827731620208        				2^5
0.1507401201195719      				2^5
0.6657372739841332       				2^5
-0.4348214887156558        				2^5
0.1636124180754419      				2^5
-1.352095706556357        				2^4
0.3367157252031951       				2^4
-1.3799164529064711E-002 				2^4
-1.162660376514835       				2^4
-0.6115626887059422        				2^4	
0.2487013152365680      				2^4
-2.951159652683248       				2^4
-0.1838816920395314       				2^4
-0.7244388860472144      				2^4
0.2769029851640439        				2^3
0.8926840666780720        				2^3
0.3271603115829507      				2^3	
0.1956328452330109       				2^3
-0.2822489785612552       				2^3
-0.9455179456173584      				2^3
1.341596612810105         				2^3
1.731968318642968         				2^3
2.975128497617764      					2^3
1.1095718454141590E-003   				2^3
0.3908900818822088       				2^3
-0.1227496934981440      				2^2
-2.174907006036243        				2^2
0.3195723885798012       				2^2
-0.4239825705224129      				2^2
-0.3007480740951531       				2^2
-0.4861912274472227       				2^2
-6.4922550833769410E-002 				2^2
-0.3419425010762498        				2^2
0.1836075086195357       				2^2	
-0.7403924493016856      				2^2
1.362032795674390       				2^2	
-0.2010344784583800       				2^2
-0.7092631159323997      				2^2
-0.2545888531928653        				2
0.6219319355737367        				2
0.1017997803095834      				2
-1.997551791196435        				2
0.2690482285038511        				2
7.3381536148384718E-002 				2
-0.1496509975628686        				2
-2.059372456879610       				2
-0.1045302379069395      				2
-0.9925286371478332        				2
3.9266502862726149E-002  				2
-9.7214124129752388E-002 				2
1.194455836012532        				2
-1.425825869798411        				2
0.2548269681550472      				2
4.0482592999971256E-002   				1
2.5142573100723986E-002   				1
-2.222818296577998      				1
-0.1769493902673189        				1
0.2947181420278899        				1
0.4553966665255755      				1
4.9550838458293001E-002  				1
-0.2114018692395270        				1
0.4425792633759080      				1
-4.5723103617119953E-002   				1
0.6825353610934339        				1
1.2698733106432769E-002 				1
-1.195045877576764        				1
-2.812509646066183        				1
6.1949451843887893E-002 				1
0.4142478123668800       				1
-0.4837986484910859      				1

 
increments for u=0
0                                   2^6
1.086791033966094       			2^6	
-0.3107373035557170         		2^6	
1.093187119710451           		2^6
-0.5292343809062956         		2^6	
0.4278713055019003          		2^5
0.6946575581831458          		2^5
-0.2433781583485075         		2^5
0.5471868323144493          		2^5
0.4863557701190220          		2^5
-0.2130018329120045         		2^5
-0.1703694413242940         		2^5
-0.4592961950676990         		2^4
-0.4829123251233667         		2^4
-0.1773961322617232         		2^4
-0.5601642919230252         		2^4
0.9781010890219175          		2^4	
0.1032227452025594          		2^4
1.1011832528643239E-002     		2^4
-2.984707713102343          		2^4
7.8316726296685957E-002     		2^4
0.1127742639266325          		2^3
0.3398141489319642          		2^3
-0.2787956206428590         		2^3	
-0.1314669890001881         		2^3
0.3699642948512940          		2^3
0.5017140175757970          		2^3
0.6195493577705697          		2^3
0.2811188566503877          		2^3
0.4026638637014819          		2^3
-8.5549680953521001E-002    		2^3
0.1202553307971170          		2^3
0.3202765664009193          		2^2
5.4364224125258875E-002     		2^2
0.3666174331510588          		2^2
-1.902585430271440          		2^2
-0.2556139084440292         		2^2
-0.5849099118539058         		2^2
0.8396219531660534          		2^2
0.4418856580831960          		2^2
-0.3619287225418804         		2^2	
0.4638900123187444          		2^2
0.1918040488811554          		2^2	
-0.3621538037611751         		2^2
0.3237770960300996          		2^2
-1.073007380884754          		2
-0.2355712769518057         		2
6.5137641400401236E-002     		2
-5.6483031163418129E-002    		2
-0.5490454071394204         		2
3.5794423117750718E-002     		2
0.3142218310178881          		2
2.6847331636981941E-002     		2
-0.9684281080467159         		2
0.2257762213797170          		2
0.2097419543450445          		2
-0.2853764973742448         		2	
0.2561908502118948          		2
8.2006102011266790E-002     		2
-0.4971597050371863         		2
-0.1779358465896044         		1
-0.2044795942001341         		1
-0.1713714254594234         		1
-0.8799296433436981         		1
0.2248554131187173          		1
0.4158835926876261          		1
-1.253332219053368          		1
0.1341716710206495          		1
0.7206691814016479          		1
-4.9974072441905104E-002    		1
0.1302797860484830          		1
-2.8534337063301773E-002    		1
0.1527756714842803          		1
4.0550898493503240E-003     		1
-0.6127885848448322         		1
-5.6927109763937001E-002    		1
2.434326101945166           		1
