 Here is the list of increments for K=7 for G=5 and F=2. The increments are over the modified Cappellaro method. In other words we have updated the phase with 0.5*arg(b_{-2^(k+1)}) for the detections in the interaction time
 2^k*tau  and with 0.5*arg(b_{2^k}) when the interaction time is changed from 2^k*tau to 2^(k-1)*tau. The phase is then incremented based on the measurement result according to the following lists.
If the measurement gives u=1, with the  probability p(u=1)=(fa+fi-(fa-fi)*vis*cos(2**(K-k)phi-theta))/2, the corresponding increment in the u=1 list is used and if 
the measurement gives u=0, with the probability p(u=0)=1-p(u=1), then the corresponding phase in the u=0 list is used.
The first controlled phase is set to zero and the updating is started from the second controlled phase.
For this value of K (K=7), N=1769 and the swarm optimization gives NV_H=0.050458776391212323.
 increments for u=1				time (multiplied by tau)
0.1220604189039456                         2
-0.3582476824377547                        2
-0.8824257327791099                        2
0.9762120722066934                         2
-0.8560451534591813                        2
-0.1428590389717215                        2
-0.7029954295643890                        2
-0.3020461576344360                        2
-0.5037545281033586                        1
-0.2014576328532267                        1
0.4998395667298601                         1
0.1948156496150188                         1
0.6696612108023290                         1
-2.911366557539816                         1
2.895857322534629                          1
0.2200431847812543                         1
0.1062458101249120                         1
0.4318938821227074                         1
0.2267489808998406                         1
-2.949504925751958                         1
-0.4424227441553978                        1
-0.1423953220896452                        1
-9.9339439422325260E-002                   1
-4.2611866467605175E-002                   1
-0.6698083669273371                        1
-0.3077091758067230                        1
-2.083184173361715                         1


increments for u=0
0                                       2^7
 0.1770481344061734                     2^7
 -1.325432640265446                     2^7
 -0.3127055014439715                    2^7
 0.3218573826468556                     2^7
 -0.1621387988553198                    2^6
 -0.3060327281579629                    2^6
 2.8970830060725650E-002                2^6
 0.3324229690408282                     2^6
 -0.9415487812788736                    2^6
 -8.5384259411887431E-002               2^6
 0.3113576165635434                     2^6
 0.3217294609976804                     2^5
 -0.1733017000028236                    2^5
 0.1044164144414452                     2^5
-0.2439317589750911                     2^5
0.6668714293225899                      2^5
-1.571331197277779                      2^5
-3.091198383860040                      2^5
0.2307836943273909                      2^5
0.3015805396902023                      2^5
-0.7407883589878081                     2^4
8.6948466792490464E-002                 2^4
-5.5558815403666806E-002                2^4
0.1947651534989774                      2^4
-0.1051536363346721                     2^4
-3.6400103421772023E-002                2^4
-5.6790937700838651E-002                2^4
-6.9224502148129474E-002                2^4
4.5647913106229954E-002                 2^4
1.123391011965964                       2^4
-0.1126546636273580                     2^4
0.6334939748509028                      2^3
-0.6792062960877026                     2^3
-1.640184781364707                      2^3
0.1418711408009825                      2^3
0.1939551161011877                      2^3
-0.2629307184263570                     2^3
-0.1089094520630818                     2^3
-0.1406977742081317                     2^3
-1.019802556977778                      2^3
-0.9233644231987057                     2^3
0.5797089400156512                      2^3
-0.1444445630779891                     2^3
-0.1014047304964403                     2^3
-0.3432799996748246                     2^2
-0.2685567956550745                     2^2
0.1219311968979180                      2^2
0.2875133239660186                      2^2
1.0958755781938390E-002                 2^2
-0.6343254225362078                     2^2
-0.1981194102434598                     2^2
-0.8598705716191297                     2^2
0.1651960037820954                      2^2
0.6370701650050061                      2^2
1.963210710004462                       2^2
-1.716661792950668                      2^2
-0.1038011358217013                     2^2
-0.2258839218720103                     2^2
0.1854255079176981                      2^2
-0.3917004531289230                     2
1.352704439806858                       2
-0.1063862717716768                     2
-0.4334843899518166                     2
-2.752000968018042                      2
-0.6212274206315720                     2
-0.5865083677562257                     2
-0.1677685445290047                     2
-2.910023993665485                      2
-0.2039772924464929                     2
0.7082397683142228                      2
0.2208962100204093                      2
-0.2161073573763819                     2
-2.169553356192726                      2
-0.5459477058797972                     2
-7.5459008529546789E-002                2
2.7516567401981717E-003                 2
-2.500536601093537                      1
-2.2312973729898822E-003                1
1.031818424894503                       1
-0.4352634693940072                     1
0.3817349432739761                      1
2.406154962626346                       1
-0.7171871785307404                     1
0.1952035281938436                      1
0.2775426263224445                      1
-0.2806628643130589                     1
0.5064415681251520                      1
0.5091506884688317                      1
-5.0031693455196091E-002                1
6.5472135213549887E-002                 1
1.694671434288234                       1
-0.6714943790319507                     1
0.5294584839549796                      1
0.1227228340084028                      1
2.9359631145847498E-002                 1
