Here is the list of increments for K=12 for G=5 and F=2. The increments are over the modified Cappellaro method. In other words we have updated the phase with 0.5*arg(b_{-2^(k+1)}) for the detections in the interaction time
 2^k*tau  and with 0.5*arg(b_{2^k}) when the interaction time is changed from 2^k*tau to 2^(k-1)*tau. The phase is then incremented based on the measurement result according to the following lists.
If the measurement gives u=1, with the  probability p(u=1)=(fa+fi-(fa-fi)*vis*cos(2**(K-k)phi-theta))/2, the corresponding increment in the u=1 list is used and if 
the measurement gives u=0, with the probability p(u=0)=1-p(u=1), then the corresponding phase in the u=0 list is used.
The first controlled phase is set to zero and the updating is started from the second controlled phase.
For this value of K (K=12), N=57311 and the swarm optimization gives NV_H=0.011308963581548204.
increments for u=1				time (multiplied by tau)
2.3891773508206704E-003                  2^6
0.4309286790982503                       2^6
0.1498091251198241                       2^6
-0.2312543651577608                      2^6
-2.567722770529303                       2^6
4.6421669096869955E-002                  2^6
-9.1296176162908527E-002                 2^6
-1.278078856377517                       2^6
2.568963598452077                        2^6
0.8411621482259704                       2^5
-8.9770063264731803E-002                 2^5
1.461992312090896                        2^5
-0.9082162720354106                      2^5
-6.4606450011049255E-002                 2^5
0.2846175794693404                       2^5
0.6067181851780932                       2^5
-0.3350839535803516                      2^5
-2.093374082341466                       2^5
0.6368819134731192                       2^5
-1.169822614112348                       2^5
-2.976795685365786                       2^5
-3.8881037881646208E-003                 2^5
-0.5063660754573407                      2^5
-0.5351478018209619                      2^5
-0.9014306221784398                      2^5
0.9490433112482322                       2^5
0.7412913497359384                       2^5
-5.5377148717674629E-002                 2^5
2.515350295968735                        2^4
0.1984401220133378                       2^4
-0.1606057959714522                      2^4
0.9817914994709378                       2^4
-0.7788608127882268                      2^4
7.0413965849250193E-002                  2^4
0.5648444161502137                       2^4
1.812133741426134                        2^4
-1.120629475658971                       2^4
-2.075544233671316                       2^4
0.3203813801153581                       2^4
-1.216818517317952                       2^4
0.4528070376264681                       2^4
1.034001248524269                        2^4
-1.852454365817692                       2^4
0.8131762631251691                       2^4
0.3622194928908127                       2^4
0.7254238145183223                       2^4
-1.438593463406124                       2^4
0.2082127434472705                       2^4
0.8159637887025331                       2^4
1.650576281294923                        2^3
-0.4214300589563473                      2^3
3.8312863001080277E-002                  2^3
-1.673393014670714                       2^3
1.252672754953778                        2^3
0.8258674219876525                       2^3
1.252927229562360                        2^3
0.3573450171415469                       2^3
0.2088390625007395                       2^3
6.8874059509147934E-002                  2^3
0.2693642456713929                       2^3
-1.301052828530933                       2^3
-1.838814721016689                       2^3
4.1102297408180277E-002                  2^3
