Here is the list of increments for K=10 for G=5 and F=2. The increments are over the modified Cappellaro method. In other words we have updated the phase with 0.5*arg(b_{-2^(k+1)}) for the detections in the interaction time
 2^k*tau  and with 0.5*arg(b_{2^k}) when the interaction time is changed from 2^k*tau to 2^(k-1)*tau. The phase is then incremented based on the measurement result according to the following lists.
If the measurement gives u=1, with the  probability p(u=1)=(fa+fi-(fa-fi)*vis*cos(2**(K-k)phi-theta))/2, the corresponding increment in the u=1 list is used and if 
the measurement gives u=0, with the probability p(u=0)=1-p(u=1), then the corresponding phase in the u=0 list is used.
The first controlled phase is set to zero and the updating is started from the second controlled phase.
For this value of K (K=10), N=14307 and the swarm optimization gives NV_H=0.011611685544175687.
increments for u=1                            time (multiplied by tau)
0                                               2^10
0.4897525332343369                              2^10
1.268040979517293                               2^10
0.1753897991194040                              2^10
-1.181163992249935                              2^10
-0.2939150808464932                             2^9
-0.5910049111773201                             2^9
-8.0521183099083071E-002                        2^9
-1.635687044781409                              2^9
-0.3198207818072598                             2^9
-5.5936100922289178E-002                        2^9
-0.1747332299936977                             2^9
 -1.106615231107101                             2^8
 -0.3451142457526726                            2^8
 0.9167921570258564                             2^8
-3.1295001681780121E-002                        2^8
0.2225393061490877                              2^8
0.4798499792880584                              2^8
 0.1041708413138727                             2^8
 -0.1893082644375492                            2^8
 0.6544885142603651                             2^8
-0.4104092322078983                             2^7
-5.1781998488335201E-002                        2^7
-0.4674494603330226                             2^7
 0.2211186290603644                             2^7
 -1.0142484704561472E-002                       2^7
 -0.8723781009073637                            2^7
 0.3888270347769578                             2^7
 1.669277010976527                              2^7
 0.4987768736492826                             2^7
 0.9677817038070140                             2^7
 -1.729275548432152                             2^7
 0.1288237174461648                             2^6
-0.7214632626569384                             2^6
-1.421854186644188                              2^6
0.5421467046924864                              2^6
  2.721809105334154                             2^6
-0.2116706339493364                             2^6
0.9593837275903319                              2^6
 0.2965368133097610                             2^6
 -1.1731096091182280E-002                       2^6
 -0.4267899140889040                            2^6
 2.8064424839966851E-002                        2^6
 -0.6003516767228776                            2^6
 1.952968100258214                              2^6
-0.5604968632812168                             2^5
-3.8758158150542510E-002                        2^5
-0.5427211975935768                             2^5
 0.8127642555520058                             2^5
 -0.1769495827342844                            2^5
 0.4742545316001521                             2^5
 8.0870838931468292E-002                        2^5
 0.2059384498288881                             2^5
 0.8341928835804326                             2^5
  1.073353591362466                             2^5
0.2041254891917839                              2^5
-3.8088628823365056E-003                        2^5
-0.5490018281211038                             2^5
0.1806029828481286                              2^5
2.207556518355199                               2^5
 -1.804564313924009                             2^4
 -0.9249396678541579                            2^4
 -0.9957858576201684                            2^4
 -1.206200400849548                             2^4
 3.1111984682802518E-002                        2^4
