Here is the list of increments for K=9 for G=5 and F=2. The increments are over the modified Cappellaro method. In other words we have updated the phase with 0.5*arg(b_{-2^(k+1)}) for the detections in the interaction time
 2^k*tau  and with 0.5*arg(b_{2^k}) when the interaction time is changed from 2^k*tau to 2^(k-1)*tau. The phase is then incremented based on the measurement result according to the following lists.
If the measurement gives u=1, with the  probability p(u=1)=(fa+fi-(fa-fi)*vis*cos(2**(K-k)phi-theta))/2, the corresponding increment in the u=1 list is used and if 
the measurement gives u=0, with the probability p(u=0)=1-p(u=1), then the corresponding phase in the u=0 list is used.
The first controlled phase is set to zero and the updating is started from the second controlled phase.
For this value of K (K=9), N=7141 and the swarm optimization gives NV_H=0.01655289337106613.
increments for u=1                            time (multiplied by tau)
0                                                    2^9
-1.549315818575379                                   2^9
2.324164751416628                                    2^9
-1.873605030639336                                   2^9
0.9833286345428647                                   2^9
-0.2640626443598202                                  2^8
0.2813405075960200                                   2^8
-0.9069919336410530                                  2^8
0.1404907291097457                                   2^8
4.6663859928560925E-002                              2^8
-0.5183673387777334                                  2^8
0.2206297390282281                                   2^8
-0.3378349965007637                                  2^7
-0.7640198467554029                                  2^7
-4.9041356984937945E-002                             2^7
-0.1570195463822026                                  2^7
0.6682531724506093                                   2^7
0.3538940146438345                                   2^7
0.2986733880471082                                   2^7
0.3928958185506271                                   2^7
-0.8972975193504586                                  2^7
9.1115214251262788E-002                              2^6
1.0427824009704878E-002                              2^6
9.1721913532265553E-003                              2^6
-4.6073966059843485E-002                             2^6
1.784163435352722                                    2^6
-0.3840251669680192                                  2^6
-0.3154214047728221                                  2^6
-1.428110243215281                                   2^6
-0.6870363850486974                                  2^6
-0.1767770780363422                                  2^6
-0.1490610014846623                                  2^6
7.3757081453257989E-002                              2^5
1.715553486422564                                    2^5
0.7090860692537211                                   2^5
-4.7995588347689466E-002                             2^5
-2.246368417778205                                   2^5
-0.1907803031242428                                  2^5
-0.2724651954827335                                  2^5
1.190970816443511                                    2^5
0.1623158183719884                                   2^5
-0.5372745955213354                                  2^5
0.4827203538493468                                   2^5
-0.3427231631941678                                  2^5
-0.2330615433184904                                  2^5
0.7212812260480188                                   2^4
0.1180363430495710                                   2^4
0.1759897344434895                                   2^4
-2.039721335922062                                   2^4
-5.2297565367431798E-002                             2^4
-8.3513910564474436E-002                             2^4
2.346221219492150                                    2^4
-0.5045483103990924                                  2^4
0.6882194753450941                                   2^4
-1.7829045447386616E-002                             2^4
-0.2628047267613653                                  2^4
-0.1619374900622752                                  2^4
-4.6064527185253556E-002                             2^4
1.719518812567070                                    2^4
7.7252303919876919E-002                              2^4
0.4943946561544417                                   2^3
-0.3371707429354567                                  2^3
2.200460101920873                                    2^3
